codmun6;estabelecimentomunicipio-jul2023;total-estab-2023;atencao-primaria;atencao-secundaria;atencao-terciaria;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;CONSULTORIO ISOLADO;UNIDADE MOVEL FLUVIAL;UNIDADE MOVEL TERRESTRE;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;POLO ACADEMIA DA SAUDE;TELESSAUDE;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;CENTRO DE IMUNIZACAO;POLICLINICA;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRO DE ATENCAO PSICOSSOCIAL;PRONTO ATENDIMENTO;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;CENTRAL DE ABASTECIMENTO;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL
410425;410425 CAMPO MAGRO;18;11;5;2;1;7;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;2;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
410430;410430 CAMPO MOURAO;565;413;141;11;6;16;342;-;-;42;-;1;-;2;-;1;3;3;-;-;-;104;20;-;-;-;2;2;1;-;1;-;8;3;-;6;-;2;-;-;-;-
410440;410440 CANDIDO DE ABREU;25;19;4;2;8;5;3;-;-;1;-;-;1;-;-;-;1;-;-;-;-;1;2;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
410442;410442 CANDOI;23;15;6;2;6;2;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-
410445;410445 CANTAGALO;12;8;3;1;-;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410450;410450 CAPANEMA;48;36;10;2;5;2;22;-;-;6;1;-;-;-;-;-;-;-;-;-;-;3;5;-;-;-;1;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-
410460;410460 CAPITAO LEONIDAS MARQUES;32;20;9;3;7;2;10;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
410465;410465 CARAMBEI;46;33;12;1;5;1;25;-;-;1;1;-;-;-;-;-;-;-;-;-;-;6;5;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410470;410470 CARLOPOLIS;10;7;2;1;-;2;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-
410480;410480 CASCAVEL;898;594;267;37;2;51;435;-;2;94;2;-;-;1;1;4;2;12;-;-;-;153;81;3;-;5;4;3;4;-;-;-;2;8;9;13;-;2;1;1;2;1
410490;410490 CASTRO;158;116;38;4;-;21;81;-;1;12;-;1;-;-;-;-;-;15;-;-;-;12;8;-;-;-;1;1;1;-;-;-;-;1;-;2;-;1;-;-;-;-
410500;410500 CATANDUVAS;16;10;4;2;1;5;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
410510;410510 CENTENARIO DO SUL;25;16;6;3;1;3;9;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;4;-;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-
410520;410520 CERRO AZUL;23;17;3;3;1;14;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
410530;410530 CEU AZUL;18;10;5;3;-;4;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
410540;410540 CHOPINZINHO;96;62;31;3;4;3;40;-;-;12;1;-;-;2;-;-;-;-;-;-;-;25;5;-;-;-;1;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-
410550;410550 CIANORTE;255;149;98;8;-;15;120;-;2;10;1;-;-;-;-;1;-;3;-;-;-;58;29;1;-;2;2;1;1;1;-;-;-;2;-;3;-;2;1;-;-;-
410560;410560 CIDADE GAUCHA;27;20;5;2;-;4;13;-;-;3;-;-;-;-;-;-;-;1;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
410570;410570 CLEVELANDIA;23;12;8;3;5;1;4;-;-;1;-;-;-;1;-;-;-;-;-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
410580;410580 COLOMBO;153;83;63;7;-;26;38;-;-;19;-;-;-;-;-;-;-;12;-;1;-;20;27;1;-;-;2;-;-;-;-;-;-;1;1;3;-;1;-;-;1;-
410590;410590 COLORADO;77;55;19;3;-;6;46;-;-;3;-;-;-;-;-;-;-;2;-;-;-;7;8;-;-;-;1;-;1;-;-;-;-;1;-;1;-;1;-;-;-;-
410600;410600 CONGONHINHAS;13;5;5;3;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
410610;410610 CONSELHEIRO MAIRINCK;7;2;3;2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
410620;410620 CONTENDA;20;9;8;3;3;4;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;3;-;-;-;1;-;-;-;-;-;1;1;-;1;-;1;-;-;-;-
410630;410630 CORBELIA;59;39;17;3;2;4;21;-;-;12;-;-;-;-;-;-;-;-;-;-;-;13;3;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
410640;410640 CORNELIO PROCOPIO;211;128;74;9;-;13;108;-;1;5;-;1;-;-;-;-;-;28;-;-;-;22;22;-;-;-;2;-;-;-;-;-;-;3;-;2;-;2;1;1;-;-
410645;410645 CORONEL DOMINGOS SOARES;16;12;3;1;5;1;3;-;1;-;-;-;-;2;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410650;410650 CORONEL VIVIDA;73;49;21;3;10;9;26;-;-;1;1;-;1;1;-;-;-;-;-;-;-;10;7;-;-;-;2;1;-;-;-;-;1;1;-;1;-;1;-;-;-;-
410655;410655 CORUMBATAI DO SUL;7;6;0;1;-;1;2;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410657;410657 CRUZEIRO DO IGUACU;6;3;2;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410660;410660 CRUZEIRO DO OESTE;38;24;11;3;1;3;16;-;-;2;-;-;-;1;-;-;1;1;-;-;-;6;3;-;-;-;-;-;-;-;-;1;-;1;-;1;-;1;-;-;-;-
410670;410670 CRUZEIRO DO SUL;9;5;1;3;-;2;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
410680;410680 CRUZ MACHADO;20;10;7;3;2;3;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;4;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
410685;410685 CRUZMALTINA;6;4;1;1;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410690;410690 CURITIBA;7250;5181;1960;109;1;110;4754;-;10;252;3;-;2;-;3;20;26;594;-;-;2;752;537;6;-;14;14;9;30;-;-;1;1;38;20;29;-;15;2;1;2;2
410700;410700 CURIUVA;23;16;5;2;7;1;6;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
410710;410710 DIAMANTE DO NORTE;9;2;5;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
410712;410712 DIAMANTE DO SUL;3;2;0;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410715;410715 DIAMANTE D'OESTE;7;3;3;1;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410720;410720 DOIS VIZINHOS;190;124;63;3;-;16;89;-;1;15;-;-;-;1;-;-;2;-;-;-;-;38;23;-;-;-;1;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-
410725;410725 DOURADINA;22;13;7;2;1;3;8;-;-;1;-;-;-;-;-;-;-;1;-;-;-;3;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-
410730;410730 DOUTOR CAMARGO;11;5;5;1;1;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410740;410740 ENEAS MARQUES;16;11;3;2;-;1;7;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-
410750;410750 ENGENHEIRO BELTRAO;38;29;7;2;1;6;12;-;-;10;-;-;-;-;-;-;-;-;-;-;-;5;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
410752;410752 ESPERANCA NOVA;9;5;3;1;-;1;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410753;410753 ENTRE RIOS DO OESTE;9;3;4;2;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
410754;410754 ESPIGAO ALTO DO IGUACU;10;8;1;1;-;3;2;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410755;410755 FAROL;6;5;0;1;-;3;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410760;410760 FAXINAL;49;34;13;2;1;4;20;-;-;8;1;-;-;-;-;-;-;6;-;-;-;1;4;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-
410765;410765 FAZENDA RIO GRANDE;110;70;34;6;1;13;32;-;-;20;1;1;-;1;1;-;-;11;-;-;-;3;16;-;-;-;1;1;1;-;-;-;1;1;-;4;-;1;-;-;-;-
410770;410770 FENIX;15;12;2;1;3;1;4;-;-;3;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410773;410773 FERNANDES PINHEIRO;12;8;3;1;5;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410775;410775 FIGUEIRA;17;9;6;2;1;2;5;-;-;-;-;-;-;1;-;-;-;1;-;-;-;3;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-
410780;410780 FLORAI;12;8;3;1;-;3;3;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410785;410785 FLOR DA SERRA DO SUL;16;10;4;2;4;2;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-
410790;410790 FLORESTA;14;8;4;2;-;3;3;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
410800;410800 FLORESTOPOLIS;17;10;5;2;-;4;5;-;-;-;1;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
410810;410810 FLORIDA;3;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410820;410820 FORMOSA DO OESTE;8;1;5;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
410830;410830 FOZ DO IGUACU;441;237;185;19;1;33;153;-;-;42;3;-;-;-;1;1;3;56;-;-;-;62;56;-;-;2;3;2;1;-;1;1;1;4;-;10;-;2;1;1;1;-
410832;410832 FRANCISCO ALVES;7;3;3;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410840;410840 FRANCISCO BELTRAO;493;391;92;10;7;21;297;-;1;62;1;-;-;1;-;-;1;-;-;-;-;60;26;1;-;-;2;1;1;-;-;-;1;4;-;3;-;2;1;-;-;-
410845;410845 FOZ DO JORDAO;12;9;2;1;2;2;3;-;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410850;410850 GENERAL CARNEIRO;19;10;7;2;-;3;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;-;-;-;1;-;-;-;-;1;-;-;1;-;1;-;-;-;-
410855;410855 GODOY MOREIRA;6;2;2;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
410860;410860 GOIOERE;100;68;27;5;-;7;39;-;-;22;-;-;-;-;-;-;-;-;-;-;-;16;9;-;-;-;1;-;1;-;-;-;-;2;-;2;-;1;-;-;-;-
410865;410865 GOIOXIM;11;8;2;1;4;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410870;410870 GRANDES RIOS;16;10;4;2;2;3;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
410880;410880 GUAIRA;124;96;24;4;-;12;72;-;1;9;-;-;1;-;-;-;1;-;-;-;-;4;17;-;-;-;1;1;-;-;-;1;-;1;-;2;-;1;-;-;-;-
410890;410890 GUAIRACA;8;2;4;2;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
410895;410895 GUAMIRANGA;19;12;6;1;8;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410900;410900 GUAPIRAMA;5;1;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410910;410910 GUAPOREMA;4;3;0;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410920;410920 GUARACI;8;6;1;1;-;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410930;410930 GUARANIACU;23;13;7;3;-;7;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;-;-;-;-;-;-;-;-;-;1;1;-;1;-;1;-;-;-;-
410940;410940 GUARAPUAVA;569;401;156;12;-;42;352;-;-;4;-;-;1;-;1;-;1;58;-;1;-;59;29;-;-;3;4;1;-;-;-;-;1;5;-;3;-;2;1;1;-;-
410950;410950 GUARAQUECABA;6;4;0;2;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
410960;410960 GUARATUBA;66;42;21;3;1;7;29;-;-;5;-;-;-;-;-;-;-;-;-;1;-;6;11;2;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
410965;410965 HONORIO SERPA;11;8;2;1;-;4;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
410970;410970 IBAITI;70;46;20;4;5;8;31;-;-;1;-;-;-;1;-;-;-;6;-;-;-;5;9;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;-;-;-
410975;410975 IBEMA;7;3;2;2;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
410980;410980 IBIPORA;83;52;27;4;-;9;38;-;-;3;-;-;-;-;-;2;-;-;-;-;-;11;13;-;-;-;2;1;-;-;-;-;-;2;-;1;-;1;-;-;-;-
410990;410990 ICARAIMA;13;6;5;2;2;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-
411000;411000 IGUARACU;7;4;2;1;-;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
411005;411005 IGUATU;6;4;1;1;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
411007;411007 IMBAU;15;9;4;2;1;4;1;-;-;2;-;-;-;-;-;1;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
411010;411010 IMBITUVA;63;48;13;2;13;1;26;-;-;4;1;-;-;2;-;-;1;-;-;-;-;2;9;-;-;-;1;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-
411020;411020 INACIO MARTINS;30;23;5;2;9;6;7;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;-;-;-
411030;411030 INAJA;3;1;0;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
411040;411040 INDIANOPOLIS;11;6;3;2;-;3;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-
411050;411050 IPIRANGA;27;20;5;2;11;3;5;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
411060;411060 IPORA;19;13;4;2;5;1;6;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
411065;411065 IRACEMA DO OESTE;3;2;1;0;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
411070;411070 IRATI;209;168;30;11;14;12;140;-;-;2;-;-;-;-;-;-;-;1;-;-;-;12;12;-;-;1;1;1;1;-;-;1;-;4;-;4;-;2;1;-;-;-
411080;411080 IRETAMA;29;20;6;3;1;2;9;-;-;7;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;2;1;1;-;1;-;1;-;-;-;-
411090;411090 ITAGUAJE;6;3;2;1;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
411095;411095 ITAIPULANDIA;25;14;7;4;5;1;6;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;6;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;-;-;-;-
411100;411100 ITAMBARACA;4;2;0;2;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
411110;411110 ITAMBE;14;9;4;1;-;3;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
411120;411120 ITAPEJARA D'OESTE;30;19;9;2;-;5;11;-;-;2;1;-;-;-;-;-;-;-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-
411125;411125 ITAPERUCU;21;9;10;2;-;5;1;-;-;2;-;-;-;1;-;-;-;-;-;-;-;7;2;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
411130;411130 ITAUNA DO SUL;9;6;1;2;-;2;2;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
411140;411140 IVAI;16;8;5;3;4;2;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
411150;411150 IVAIPORA;136;95;33;8;2;9;84;-;-;-;-;-;-;-;-;-;-;2;-;-;-;17;11;1;-;-;1;1;-;-;-;-;-;3;-;2;-;2;1;-;-;-
411155;411155 IVATE;20;13;6;1;1;4;8;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
411160;411160 IVATUBA;6;4;1;1;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
411170;411170 JABOTI;15;10;3;2;-;2;7;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
411180;411180 JACAREZINHO;126;78;42;6;-;10;65;-;-;1;1;-;-;1;-;-;-;4;-;-;-;21;13;-;-;1;2;-;-;-;-;1;-;1;-;2;-;2;1;-;-;-
411190;411190 JAGUAPITA;23;16;5;2;-;4;10;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-
411200;411200 JAGUARIAIVA;70;50;16;4;1;4;42;-;-;3;-;-;-;-;-;-;-;-;-;-;-;11;3;-;-;-;1;-;-;-;-;1;-;1;-;2;-;1;-;-;-;-
411210;411210 JANDAIA DO SUL;70;51;15;4;1;6;42;-;-;1;-;-;-;-;-;1;-;3;-;-;-;6;5;-;-;-;-;1;-;-;-;-;-;1;1;1;-;1;-;-;-;-
411220;411220 JANIOPOLIS;18;15;3;0;3;2;6;-;-;4;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
411230;411230 JAPIRA;7;5;1;1;2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
411240;411240 JAPURA;11;4;5;2;-;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
411250;411250 JARDIM ALEGRE;21;12;7;2;3;2;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;2;1;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
411260;411260 JARDIM OLINDA;3;2;0;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
411270;411270 JATAIZINHO;8;4;3;1;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
411275;411275 JESUITAS;9;4;2;3;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
411280;411280 JOAQUIM TAVORA;28;17;8;3;6;1;10;-;-;-;-;-;-;-;-;-;-;2;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
411290;411290 JUNDIAI DO SUL;9;4;4;1;-;2;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
411295;411295 JURANDA;20;13;6;1;-;2;6;-;-;4;-;-;-;1;-;-;-;-;-;-;-;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
411300;411300 JUSSARA;8;4;2;2;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
411310;411310 KALORE;6;2;2;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
411320;411320 LAPA;86;69;13;4;7;12;45;-;-;4;-;-;-;-;-;1;-;1;-;-;-;5;4;-;-;-;1;1;-;-;-;-;1;1;1;1;-;1;-;-;-;-
411325;411325 LARANJAL;3;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
411330;411330 LARANJEIRAS DO SUL;111;69;36;6;4;7;46;-;-;9;-;-;1;1;-;1;-;5;-;-;-;17;12;-;-;-;1;-;-;-;-;1;-;2;-;2;-;2;-;-;-;-
411340;411340 LEOPOLIS;7;5;1;1;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
411342;411342 LIDIANOPOLIS;6;2;3;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
411345;411345 LINDOESTE;7;3;2;2;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
411350;411350 LOANDA;78;49;22;7;-;6;37;-;-;5;1;-;-;-;-;-;-;4;-;-;-;5;12;-;-;-;1;-;-;-;-;-;-;3;1;2;-;1;-;-;-;-
