codmun6;estabelecimentomunicipio-jul2018;total-estab-2018;atencao-primaria;atencao-secundaria;atencao-terciaria;POSTO DE SAUDE;CENTRO DE SAUDE/UNIDADE BASICA;CONSULTORIO ISOLADO;UNIDADE MOVEL FLUVIAL;UNIDADE MOVEL TERRESTRE;FARMACIA;UNIDADE DE VIGILANCIA EM SAUDE;CENTRO DE APOIO A SAUDE DA FAMILIA;UNIDADE DE ATENCAO A SAUDE INDIGENA;POLO ACADEMIA DA SAUDE;TELESSAUDE;POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE;POLICLINICA;UNIDADE MISTA;PRONTO SOCORRO GERAL;PRONTO SOCORRO ESPECIALIZADO;CLINICA/CENTRO DE ESPECIALIDADE;UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO);COOPERATIVA OU EMPRESA DE CESSAO DE TRABALHADORES NA SAUDE;CENTRO DE PARTO NORMAL - ISOLADO;HOSPITAL/DIA - ISOLADO;CENTRO DE ATENCAO PSICOSSOCIAL;PRONTO ATENDIMENTO;SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE);UNIDADE DE ATENCAO EM REGIME RESIDENCIAL;OFICINA ORTOPEDICA;LABORATORIO DE SAUDE PUBLICA;HOSPITAL GERAL;HOSPITAL ESPECIALIZADO;UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA;LABORATORIO CENTRAL DE SAUDE PUBLICA LACEN;CENTRAL DE GESTAO EM SAUDE;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;CENTRAL DE REGULACAO MEDICA DAS URGENCIAS;CENTRAL DE REGULACAO DO ACESSO;CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL
352270;352270 ITAPOLIS;86;65;18;3;-;8;57;-;-;-;-;-;-;-;-;-;1;-;-;-;8;8;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;-;-
352280;352280 ITAPORANGA;13;7;3;3;-;5;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;1;-;1;-;1;-;-;-;-
352290;352290 ITAPUI;12;6;3;3;-;4;2;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1
352300;352300 ITAPURA;4;2;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352310;352310 ITAQUAQUECETUBA;77;39;31;7;-;17;18;-;1;-;3;-;-;-;-;-;6;-;-;-;13;6;-;-;-;-;5;-;-;-;1;1;-;3;-;1;-;1;1;-
352320;352320 ITARARE;79;59;16;4;5;7;44;-;-;1;1;-;-;1;-;-;-;-;-;-;9;6;-;-;-;1;-;-;-;-;-;1;-;1;-;1;-;-;1;-
352330;352330 ITARIRI;13;10;2;1;-;6;2;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352340;352340 ITATIBA;176;123;49;4;-;20;98;-;-;1;2;-;-;2;-;-;3;-;-;-;30;11;-;-;1;2;2;-;-;-;-;2;-;1;-;1;-;-;-;-
352350;352350 ITATINGA;20;16;2;2;-;2;14;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
352360;352360 ITIRAPINA;28;22;2;4;2;3;17;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;-;-;-
352370;352370 ITIRAPUA;5;4;0;1;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352380;352380 ITOBI;5;4;0;1;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352390;352390 ITU;305;199;99;7;-;16;178;-;2;1;2;-;-;-;-;-;65;-;-;-;5;23;-;-;-;2;4;-;-;-;-;2;2;-;-;1;-;-;1;1
352400;352400 ITUPEVA;49;34;12;3;-;12;21;-;1;-;-;-;-;-;-;-;2;-;-;-;5;4;-;-;-;1;-;-;-;-;-;1;1;-;-;1;-;-;-;-
352410;352410 ITUVERAVA;185;159;22;4;-;13;145;-;-;-;1;-;-;-;-;-;2;-;-;-;8;9;-;-;-;1;-;2;-;-;-;2;-;1;-;1;-;-;-;-
352420;352420 JABORANDI;9;4;2;3;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
352430;352430 JABOTICABAL;147;99;43;5;-;11;85;-;-;1;1;-;-;1;-;-;14;-;-;-;17;9;-;-;-;1;2;-;-;-;-;2;-;1;-;1;-;-;1;-
352440;352440 JACAREI;432;342;77;13;2;18;318;-;-;1;2;-;-;-;-;1;8;-;1;-;32;30;-;-;1;3;2;-;-;-;-;5;-;4;-;1;2;-;1;-
352450;352450 JACI;10;3;5;2;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-
352460;352460 JACUPIRANGA;19;14;4;1;-;6;7;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-
352470;352470 JAGUARIUNA;91;52;36;3;1;8;39;-;2;1;1;-;-;-;-;-;18;-;-;-;7;8;-;-;1;1;1;-;-;-;-;1;-;-;-;1;-;-;1;-
352480;352480 JALES;212;169;35;8;-;11;156;-;-;-;2;-;-;-;-;-;2;-;-;-;15;16;-;-;-;1;1;-;-;-;-;1;1;3;-;1;-;1;1;-
352490;352490 JAMBEIRO;5;1;1;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-
352500;352500 JANDIRA;46;22;21;3;-;10;11;-;-;1;-;-;-;-;-;-;3;-;-;-;13;2;-;-;1;1;1;-;-;-;-;-;-;1;-;1;-;-;1;-
352510;352510 JARDINOPOLIS;62;47;13;2;-;12;33;-;-;-;1;-;-;-;-;1;3;-;-;-;7;2;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-
352520;352520 JARINU;24;13;8;3;1;4;7;-;-;-;-;-;-;1;-;-;-;1;-;-;3;4;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-
352530;352530 JAU;495;385;101;9;-;17;367;-;-;-;1;-;-;-;-;-;4;-;-;-;76;18;-;-;-;1;2;-;-;-;-;1;2;4;-;1;-;1;-;-
352540;352540 JERIQUARA;2;1;0;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352550;352550 JOANOPOLIS;10;5;2;3;1;1;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
352560;352560 JOAO RAMALHO;5;4;0;1;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352570;352570 JOSE BONIFACIO;58;44;11;3;-;7;37;-;-;-;-;-;-;-;-;-;3;-;-;-;3;5;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-
352580;352580 JULIO MESQUITA;3;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352585;352585 JUMIRIM;6;4;0;2;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-
352590;352590 JUNDIAI;1557;1251;282;24;-;37;1210;-;-;2;1;-;-;1;-;-;13;-;-;-;197;57;-;-;3;4;5;3;-;-;-;6;3;5;-;1;6;1;2;-
352600;352600 JUNQUEIROPOLIS;33;25;6;2;-;10;15;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-
352610;352610 JUQUIA;15;11;3;1;2;5;2;-;-;-;1;-;-;1;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-
352620;352620 JUQUITIBA;14;8;3;3;-;5;3;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;2;-;1;-;-;-;-
352630;352630 LAGOINHA;8;4;1;3;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-
352640;352640 LARANJAL PAULISTA;81;65;14;2;-;6;59;-;-;-;-;-;-;-;-;-;2;-;-;-;4;7;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-
352650;352650 LAVINIA;6;4;0;2;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-
