codmun6;estabelecimentomunicipio-jul2018;total-estab-2018;atencao-primaria;atencao-secundaria;atencao-terciaria;total-estab-2023;atencao-primaria;atencao-secundaria;atencao-terciaria;aumentototal;aumento-primaria;aumentosecundaria;aumento-terciaria
170550;170550 COLINAS DO TOCANTINS;44;24;18;2;53;30;21;2;20%;25%;17%;0%
170555;170555 COMBINADO;3;2;0;1;5;3;1;1;67%;50%;100%;0%
170560;170560 CONCEICAO DO TOCANTINS;6;4;1;1;7;4;2;1;17%;0%;100%;0%
170600;170600 COUTO MAGALHAES;6;4;1;1;7;4;2;1;17%;0%;100%;0%
170610;170610 CRISTALANDIA;6;3;1;2;9;3;4;2;50%;0%;300%;0%
170625;170625 CRIXAS DO TOCANTINS;2;2;0;0;4;3;0;1;100%;50%;100%;100%
170650;170650 DARCINOPOLIS;5;4;0;1;5;4;0;1;0%;0%;100%;0%
170700;170700 DIANOPOLIS;20;9;9;2;26;13;11;2;30%;44%;22%;0%
170710;170710 DIVINOPOLIS DO TOCANTINS;8;5;1;2;10;5;3;2;25%;0%;200%;0%
170720;170720 DOIS IRMAOS DO TOCANTINS;7;5;1;1;7;5;1;1;0%;0%;0%;0%
170730;170730 DUERE;6;3;1;2;7;4;1;2;17%;33%;0%;0%
170740;170740 ESPERANTINA;4;3;0;1;7;6;0;1;75%;100%;100%;0%
170755;170755 FATIMA;6;5;0;1;7;5;1;1;17%;0%;100%;0%
170765;170765 FIGUEIROPOLIS;4;2;0;2;4;2;0;2;0%;0%;100%;0%
170770;170770 FILADELFIA;5;4;0;1;11;8;1;2;120%;100%;100%;100%
170820;170820 FORMOSO DO ARAGUAIA;16;12;2;2;20;13;4;3;25%;8%;100%;50%
170825;170825 FORTALEZA DO TABOCAO;3;2;0;1;5;3;1;1;67%;50%;100%;0%
170830;170830 GOIANORTE;5;3;1;1;7;4;2;1;40%;33%;100%;0%
170900;170900 GOIATINS;10;7;1;2;12;9;1;2;20%;29%;0%;0%
170930;170930 GUARAI;27;12;13;2;42;16;24;2;56%;33%;85%;0%
170950;170950 GURUPI;166;71;84;11;223;109;102;12;34%;54%;21%;9%
170980;170980 IPUEIRAS;4;3;0;1;5;4;0;1;25%;33%;100%;0%
171050;171050 ITACAJA;13;10;1;2;12;10;0;2;-8%;0%;-100%;0%
171070;171070 ITAGUATINS;6;5;0;1;6;5;0;1;0%;0%;100%;0%
171090;171090 ITAPIRATINS;5;3;1;1;5;3;1;1;0%;0%;0%;0%
171110;171110 ITAPORA DO TOCANTINS;4;3;0;1;5;3;1;1;25%;0%;100%;0%
171150;171150 JAU DO TOCANTINS;7;6;0;1;8;6;1;1;14%;0%;100%;0%
171180;171180 JUARINA;3;2;0;1;4;3;0;1;33%;50%;100%;0%
171190;171190 LAGOA DA CONFUSAO;10;7;1;2;12;7;3;2;20%;0%;200%;0%
171195;171195 LAGOA DO TOCANTINS;4;3;0;1;6;4;1;1;50%;33%;100%;0%
