ID;codmun6num;municipnascanomalia;anomcong2014;anomcong2015;anomcong2016;anomcong2017;anomcong2018;anomcong2019;anomcong2020;anomcong2021;anomcong2022;anomcong2023
mun0278;150770;150770 SAO SEBASTIAO DA BOA VISTA;1;5;-;4;4;6;2;-;1;1
mun0279;150775;150775 SAPUCAIA;-;-;-;-;2;-;-;-;-;1
mun0280;150780;150780 SENADOR JOSE PORFIRIO;1;2;1;2;-;-;1;1;1;1
mun0281;150790;150790 SOURE;-;1;-;-;-;2;-;-;-;1
mun0282;150795;150795 TAILANDIA;2;3;5;9;11;14;7;9;20;12
mun0283;150796;150796 TERRA ALTA;2;1;1;2;3;-;2;2;1;2
mun0284;150797;150797 TERRA SANTA;2;1;1;1;-;4;2;1;2;3
mun0285;150800;150800 TOME-ACU;6;2;6;3;2;12;7;5;5;7
mun0286;150803;150803 TRACUATEUA;1;-;-;1;2;3;-;2;-;4
mun0287;150805;150805 TRAIRAO;-;1;3;4;1;2;3;1;1;-
mun0288;150808;150808 TUCUMA;3;4;1;4;3;6;6;5;4;3
mun0289;150810;150810 TUCURUI;11;20;18;18;20;14;17;9;9;11
mun0290;150812;150812 ULIANOPOLIS;1;-;2;1;3;4;2;3;6;8
mun0291;150815;150815 URUARA;7;6;5;4;8;6;7;1;5;7
mun0292;150820;150820 VIGIA;2;6;6;5;5;5;6;5;9;7
mun0293;150830;150830 VISEU;3;1;1;1;3;1;4;2;3;3
mun0294;150835;150835 VITORIA DO XINGU;1;-;-;-;6;6;3;1;4;2
mun0295;150840;150840 XINGUARA;2;6;6;6;3;1;5;7;6;2
mun0296;160005;160005 SERRA DO NAVIO;-;-;-;-;2;4;3;1;1;1
mun0297;160010;160010 AMAPA;-;-;-;-;1;1;2;1;1;1
mun0298;160015;160015 PEDRA BRANCA DO AMAPARI;-;2;3;3;4;9;9;6;6;4
mun0299;160020;160020 CALCOENE;-;1;-;-;-;4;1;3;4;2
mun0300;160021;160021 CUTIAS;-;1;2;1;1;1;1;1;-;3
mun0301;160023;160023 FERREIRA GOMES;-;-;1;1;1;2;2;2;2;1
mun0302;160025;160025 ITAUBAL;-;1;-;1;2;-;1;2;3;2
mun0303;160027;160027 LARANJAL DO JARI;9;9;3;2;4;7;8;7;3;1
mun0304;160030;160030 MACAPA;33;34;38;31;60;96;62;59;78;82
mun0305;160040;160040 MAZAGAO;2;1;1;8;25;37;25;21;35;27
mun0306;160050;160050 OIAPOQUE;5;7;8;9;3;9;7;4;-;4
mun0307;160053;160053 PORTO GRANDE;3;2;5;7;7;7;9;5;8;5
mun0308;160055;160055 PRACUUBA;-;3;1;-;1;-;1;-;-;1
mun0309;160060;160060 SANTANA;10;14;19;39;108;136;109;120;217;147
mun0310;160070;160070 TARTARUGALZINHO;4;1;1;-;2;2;3;5;1;2
mun0311;160080;160080 VITORIA DO JARI;2;6;1;-;8;4;3;1;1;1
mun0312;170025;170025 ABREULANDIA;3;-;-;-;-;1;-;-;1;-
mun0313;170030;170030 AGUIARNOPOLIS;-;1;-;1;-;1;-;1;-;-
mun0314;170035;170035 ALIANCA DO TOCANTINS;-;-;2;-;-;1;-;-;-;1
mun0315;170040;170040 ALMAS;1;1;-;-;-;2;-;1;-;1
mun0316;170070;170070 ALVORADA;1;2;-;-;-;-;-;-;-;5
mun0317;170100;170100 ANANAS;1;3;1;1;-;2;2;-;1;1
mun0318;170105;170105 ANGICO;-;1;-;-;1;3;-;1;-;-
mun0319;170110;170110 APARECIDA DO RIO NEGRO;-;2;2;-;2;-;1;2;2;-
mun0320;170130;170130 ARAGOMINAS;-;1;-;-;-;2;-;-;-;-
mun0321;170190;170190 ARAGUACEMA;1;-;-;-;-;2;3;-;1;1
mun0322;170200;170200 ARAGUACU;1;1;-;-;2;2;-;1;-;-
mun0323;170210;170210 ARAGUAINA;21;27;42;26;24;32;22;14;21;13
mun0324;170215;170215 ARAGUANA;-;1;1;-;-;1;-;-;-;-
mun0325;170220;170220 ARAGUATINS;1;8;3;3;5;4;2;1;-;3
mun0326;170230;170230 ARAPOEMA;-;2;4;-;-;-;-;1;-;-
mun0327;170240;170240 ARRAIAS;2;1;2;1;1;3;1;-;1;3
mun0328;170255;170255 AUGUSTINOPOLIS;1;2;2;3;2;3;1;-;3;2
mun0329;170270;170270 AURORA DO TOCANTINS;1;-;1;1;-;-;-;-;-;-
mun0330;170290;170290 AXIXA DO TOCANTINS;2;3;1;1;2;1;1;2;3;1
mun0331;170300;170300 BABACULANDIA;1;2;1;-;-;1;1;1;-;-
